"Date","Price","Open","High","Low","Vol.","Change %"
2019-3-28,"1,289.80","1,308.40","1,311.10","1,287.70",87800.0,-1.57%
2019-3-27,"1,310.40","1,315.40","1,318.80","1,307.30",206260.0,-0.35%
2019-3-26,"1,315.00","1,321.50","1,323.00","1,312.10",267170.0,-0.57%
2019-3-25,"1,322.60","1,313.30","1,324.50","1,310.60",251980.0,0.78%
2019-3-22,"1,312.30","1,309.30","1,314.70","1,306.50",271380.0,0.38%
2019-3-21,"1,307.30","1,312.70","1,320.20","1,302.80",332610.0,0.43%
2019-3-20,"1,301.70","1,306.00","1,317.20","1,298.10",370400.0,-0.37%
2019-3-19,"1,306.50","1,303.70","1,310.80","1,302.10",206900.0,0.38%
2019-3-18,"1,301.50","1,302.00","1,306.70","1,298.00",176490.0,-0.11%
2019-3-15,"1,302.90","1,295.60","1,306.30","1,293.70",234650.0,0.60%
2019-3-14,"1,295.10","1,309.50","1,310.30","1,292.50",248210.0,-1.08%
2019-3-13,"1,309.30","1,301.80","1,311.60","1,300.60",214240.0,0.86%
2019-3-12,"1,298.10","1,293.60","1,302.60","1,292.00",203890.0,0.54%
2019-3-11,"1,291.10","1,298.20","1,299.20","1,290.60",196860.0,-0.63%
2019-3-08,"1,299.30","1,286.70","1,301.30","1,285.60",283840.0,1.03%
2019-3-07,"1,286.10","1,287.30","1,289.60","1,280.80",257920.00000000003,-0.12%
2019-3-06,"1,287.60","1,288.80","1,291.80","1,284.30",192930.0,0.23%
2019-3-05,"1,284.70","1,287.80","1,290.60","1,282.00",216930.0,-0.22%
2019-3-04,"1,287.50","1,294.40","1,298.10","1,283.80",268390.0,-0.90%
2019-3-01,"1,299.20","1,315.50","1,316.50","1,291.30",343470.0,-1.28%
2019-2-28,"1,316.10","1,321.70","1,328.90","1,314.00",252240.0,-0.39%
2019-2-27,"1,321.20","1,331.00","1,332.00","1,318.40",198040.0,-0.55%
2019-2-26,"1,328.50","1,329.90","1,332.40","1,325.50",185560.0,-0.08%
2019-2-25,"1,329.50","1,331.90","1,334.90","1,327.30",181780.0,-0.25%
2019-2-22,"1,332.80","1,325.80","1,335.60","1,323.80",241800.0,0.38%
2019-2-21,"1,327.80","1,341.70","1,344.30","1,323.30",285810.0,-1.49%
2019-2-20,"1,347.90","1,343.90","1,349.80","1,339.80",246720.0,0.23%
2019-2-19,"1,344.80","1,325.00","1,345.00","1,323.80",348640.0,1.15%
2019-2-15,"1,322.10","1,315.50","1,325.80","1,314.30",200280.0,0.62%
2019-2-14,"1,313.90","1,309.60","1,317.40","1,304.70",228460.0,-0.09%
2019-2-13,"1,315.10","1,314.30","1,321.70","1,308.10",213960.0,0.08%
2019-2-12,"1,314.00","1,311.60","1,318.30","1,310.00",146450.0,0.16%
2019-2-11,"1,311.90","1,318.10","1,318.70","1,307.10",150610.0,-0.50%
2019-2-08,"1,318.50","1,314.30","1,319.50","1,311.50",135690.0,0.33%
2019-2-07,"1,314.20","1,310.90","1,315.80","1,306.40",166760.0,-0.02%
2019-2-06,"1,314.40","1,319.40","1,319.90","1,309.60",137250.0,-0.36%
2019-2-05,"1,319.20","1,316.80","1,321.00","1,314.80",129009.99999999999,-0.01%
2019-2-04,"1,319.30","1,322.60","1,323.60","1,312.70",159560.0,-0.21%
2019-2-01,"1,322.10","1,326.00","1,328.20","1,320.60",200000.0,-0.23%
2019-1-31,"1,325.20","1,325.40","1,331.10","1,322.20",224750.0,0.74%
2019-1-30,"1,315.50","1,317.00","1,328.60","1,313.50",272110.0,0.02%
2019-1-29,"1,315.20","1,308.50","1,317.10","1,307.80",185540.0,0.45%
2019-1-28,"1,309.30","1,308.50","1,309.80","1,302.70",126080.0,0.39%
2019-1-25,"1,304.20","1,286.00","1,309.30","1,284.80",90110.0,1.42%
2019-1-24,"1,285.90","1,288.30","1,290.00","1,281.50",70660.0,-0.33%
2019-1-23,"1,290.20","1,290.80","1,292.10","1,284.00",62350.0,0.05%
2019-1-22,"1,289.50","1,287.50","1,291.10","1,282.10",73640.0,0.82%
2019-1-18,"1,288.90","1,298.30","1,298.60","1,286.30",32330.0,-0.75%
2019-1-17,"1,298.70","1,300.50","1,301.30","1,294.80",19830.0,-0.12%
2019-1-16,"1,300.30","1,295.90","1,301.90","1,294.10",17570.0,0.42%
2019-1-15,"1,294.90","1,298.90","1,301.30","1,293.10",27920.0,-0.24%
2019-1-14,"1,298.00","1,294.50","1,303.10","1,294.40",42250.0,0.15%
2019-1-11,"1,296.10","1,294.10","1,302.10","1,293.90",33600.0,0.16%
2019-1-10,"1,294.00","1,301.30","1,304.30","1,293.20",39620.0,-0.35%
2019-1-09,"1,298.50","1,292.60","1,301.30","1,287.30",30710.0,0.47%
2019-1-08,"1,292.40","1,296.40","1,297.20","1,286.70",38260.0,-0.31%
2019-1-07,"1,296.40","1,293.30","1,303.20","1,290.70",12450.0,0.33%
2019-1-04,"1,292.20","1,301.40","1,306.50","1,284.60",11880.0,-0.69%
2019-1-03,"1,301.20","1,293.50","1,302.80","1,292.80",15280.0,0.83%
2019-1-02,"1,290.50","1,291.40","1,297.00","1,287.00",14460.0,0.56%
2018-12-31,"1,287.70","1,289.60","1,292.60","1,285.80",11640.0,-0.12%
2018-12-28,"1,289.30","1,283.80","1,289.90","1,283.10",4610.0,0.15%
2018-12-27,"1,287.40","1,275.90","1,287.70","1,275.60",5520.0,0.64%
2018-12-26,"1,279.20","1,279.20","1,288.30","1,274.00",4220.0,0.66%
2018-12-24,"1,278.00","1,266.30","1,279.90","1,266.30",3900.0,1.09%
2018-12-21,"1,264.20","1,270.00","1,272.30","1,263.30",5350.0,-0.78%
2018-12-20,"1,274.20","1,253.30","1,276.30","1,252.50",10100.0,0.92%
2018-12-19,"1,262.60","1,259.90","1,268.20","1,251.60",5060.0,0.22%
2018-12-18,"1,259.80","1,256.10","1,260.20","1,255.20",10500.0,0.14%
2018-12-17,"1,258.00","1,247.40","1,258.30","1,245.90",5210.0,0.84%
2018-12-14,"1,247.50","1,252.20","1,253.30","1,242.50",3720.0,-0.49%
2018-12-13,"1,253.60","1,257.20","1,257.60","1,250.80",3890.0,-0.21%
2018-12-12,"1,256.20","1,254.30","1,258.50","1,253.50",4900.0,0.22%
2018-12-11,"1,253.40","1,256.20","1,261.00","1,252.60",7130.0,-0.18%
2018-12-10,"1,255.60","1,261.50","1,262.30","1,253.20",5920.0,-0.25%
2018-12-07,"1,258.70","1,249.00","1,261.90","1,249.00",7940.0,0.73%
2018-12-06,"1,249.60","1,249.80","1,255.60","1,246.00",5320.0,0.08%
2018-12-05,"1,248.60","1,250.60","1,250.60","1,244.80",1640.0,-0.31%
2018-12-04,"1,252.50","1,242.50","1,253.30","1,241.90",3670.0,0.56%
2018-12-03,"1,245.50","1,233.30","1,246.10","1,233.00",2380.0,1.11%
2018-11-30,"1,231.80","1,235.10","1,236.70","1,227.80",2620.0,-0.36%
